#PathwayID	Pathway name	Ontology all ancestors
PWY-5365	linear furanocoumarin biosynthesis	Biosynthesis|Secondary Metabolite Biosynthesis|Phenylpropanoid Derivative Biosynthesis|Coumarins Biosynthesis
PWY-5750	itaconate biosynthesis I	Biosynthesis|Carbohydrate Biosynthesis|Itaconate Biosynthesis
PWY-7055	daphnetin modification	Biosynthesis|Secondary Metabolite Biosynthesis|Phenylpropanoid Derivative Biosynthesis|Coumarins Biosynthesis
PWY-8018	itaconate biosynthesis II	Biosynthesis|Carbohydrate Biosynthesis|Itaconate Biosynthesis
PWY-7058	esculetin modification	Biosynthesis|Secondary Metabolite Biosynthesis|Phenylpropanoid Derivative Biosynthesis|Coumarins Biosynthesis
PWY-7398	coumarins biosynthesis (engineered)	Biosynthesis|Secondary Metabolite Biosynthesis|Phenylpropanoid Derivative Biosynthesis|Coumarins Biosynthesis
PWY-5349	esculetin biosynthesis	Biosynthesis|Secondary Metabolite Biosynthesis|Phenylpropanoid Derivative Biosynthesis|Coumarins Biosynthesis
PWY-6982	umbelliferone biosynthesis	Biosynthesis|Secondary Metabolite Biosynthesis|Phenylpropanoid Derivative Biosynthesis|Coumarins Biosynthesis
PWY-6302	dihydroconiferyl alcohol biosynthesis	Biosynthesis|Secondary Metabolite Biosynthesis|Phenylpropanoid Derivative Biosynthesis|Lignin Biosynthesis
PWY-1001	cellulose biosynthesis	Biosynthesis|Cell Structure Biosynthesis|Plant Cell Structures|Secondary Cell Wall|Glycan Pathways|Carbohydrate Biosynthesis|Glycan Biosynthesis|Polysaccharide Biosynthesis|Primary Cell Wall
PWY-5049	rosmarinic acid biosynthesis II	Biosynthesis|Secondary Metabolite Biosynthesis|Phenylpropanoid Derivative Biosynthesis|Rosmarinate Biosynthesis
PWY-5980	xylogalacturonan biosynthesis	Glycan Pathways|Biosynthesis|Carbohydrate Biosynthesis|Glycan Biosynthesis|Polysaccharide Biosynthesis|Cell Structure Biosynthesis|Plant Cell Structures|Primary Cell Wall
PWY-5048	rosmarinic acid biosynthesis I	Biosynthesis|Secondary Metabolite Biosynthesis|Phenylpropanoid Derivative Biosynthesis|Rosmarinate Biosynthesis
PWY-6658	acetan biosynthesis	Glycan Pathways|Biosynthesis|Carbohydrate Biosynthesis|Glycan Biosynthesis|Polysaccharide Biosynthesis
PWY-5665	vanillin biosynthesis I	Biosynthesis|Secondary Metabolite Biosynthesis|Phenylpropanoid Derivative Biosynthesis|Vanillin Biosynthesis
PWY-822	fructan biosynthesis	Glycan Pathways|Biosynthesis|Carbohydrate Biosynthesis|Glycan Biosynthesis|Polysaccharide Biosynthesis
PWY-5409	divinyl ether biosynthesis II	Biosynthesis|Secondary Metabolite Biosynthesis|Fatty Acid Derivative Biosynthesis|Divinyl Ether Biosynthesis
PWY-5936	xyloglucan biosynthesis	Glycan Pathways|Biosynthesis|Carbohydrate Biosynthesis|Glycan Biosynthesis|Polysaccharide Biosynthesis
PWY-6655	xanthan biosynthesis	Glycan Pathways|Biosynthesis|Carbohydrate Biosynthesis|Glycan Biosynthesis|Polysaccharide Biosynthesis
PWY-1061	homogalacturonan biosynthesis	Glycan Pathways|Biosynthesis|Carbohydrate Biosynthesis|Glycan Biosynthesis|Polysaccharide Biosynthesis|Cell Structure Biosynthesis|Plant Cell Structures|Primary Cell Wall
PWY-6403	carrageenan biosynthesis	Glycan Pathways|Biosynthesis|Carbohydrate Biosynthesis|Glycan Biosynthesis|Polysaccharide Biosynthesis
PWY-6773	1,3-&beta;-D-glucan biosynthesis	Glycan Pathways|Biosynthesis|Carbohydrate Biosynthesis|Glycan Biosynthesis|Polysaccharide Biosynthesis
PWY-6333	acetaldehyde biosynthesis I	Biosynthesis|Carbohydrate Biosynthesis|Acetaldehyde Biosynthesis
PWY-5629	isopenicillin N biosynthesis	Biosynthesis|Secondary Metabolite Biosynthesis|Toxin Biosynthesis|Antibiotic Biosynthesis
PWY-6330	acetaldehyde biosynthesis II	Biosynthesis|Secondary Metabolite Biosynthesis|Toxin Biosynthesis|Phytoalexin Biosynthesis|Carbohydrate Biosynthesis|Acetaldehyde Biosynthesis
PWY-5979	3-amino-5-hydroxybenzoate biosynthesis	Biosynthesis|Secondary Metabolite Biosynthesis|Toxin Biosynthesis|Antibiotic Biosynthesis
PWY18C3-23	guaiacol biosynthesis	Biosynthesis|Aromatic Compound Biosynthesis|Volatile Benzenoid Biosynthesis
PWY-6919	neopentalenoketolactone and pentalenate biosynthesis	Biosynthesis|Secondary Metabolite Biosynthesis|Toxin Biosynthesis|Antibiotic Biosynthesis
PWY-6444	benzoate biosynthesis II (CoA-independent, non-&beta;-oxidative)	Biosynthesis|Aromatic Compound Biosynthesis|Benzoate Biosynthesis
PWY-7671	saframycin A biosynthesis	Biosynthesis|Secondary Metabolite Biosynthesis|Toxin Biosynthesis|Antibiotic Biosynthesis
PWY-6406	salicylate biosynthesis I	Biosynthesis|Aromatic Compound Biosynthesis|Salicylate and Derivatives Biosynthesis
PWY-7810	chlorotetracycline biosynthesis	Biosynthesis|Secondary Metabolite Biosynthesis|Toxin Biosynthesis|Antibiotic Biosynthesis
PWY-6624	salicylate glucosides biosynthesis III	Biosynthesis|Aromatic Compound Biosynthesis|Salicylate and Derivatives Biosynthesis
PWY-8119	microcin B17 biosynthesis	Biosynthesis|Secondary Metabolite Biosynthesis|Toxin Biosynthesis|Antibiotic Biosynthesis
PWY18C3-22	methylsalicylate biosynthesis	Biosynthesis|Aromatic Compound Biosynthesis|Salicylate and Derivatives Biosynthesis
PWY-5632	cephalosporin C biosynthesis	Biosynthesis|Secondary Metabolite Biosynthesis|Toxin Biosynthesis|Antibiotic Biosynthesis
PWY-6623	salicylate glucosides biosynthesis II	Biosynthesis|Aromatic Compound Biosynthesis|Salicylate and Derivatives Biosynthesis
PWY-6003	gramicidin S biosynthesis	Biosynthesis|Secondary Metabolite Biosynthesis|Toxin Biosynthesis|Antibiotic Biosynthesis
PWY-981	salicylate biosynthesis II	Biosynthesis|Aromatic Compound Biosynthesis|Salicylate and Derivatives Biosynthesis
PWY-7015	ribostamycin biosynthesis	Biosynthesis|Secondary Metabolite Biosynthesis|Toxin Biosynthesis|Antibiotic Biosynthesis
PWY-6762	salicylate glucosides biosynthesis IV	Biosynthesis|Aromatic Compound Biosynthesis|Salicylate and Derivatives Biosynthesis
PWY-7485	tetracenomycin C biosynthesis	Biosynthesis|Secondary Metabolite Biosynthesis|Toxin Biosynthesis|Antibiotic Biosynthesis
PWY-6431	4-hydroxybenzoate biosynthesis IV (plants)	Biosynthesis|Aromatic Compound Biosynthesis|4-Hydroxybenzoate Biosynthesis
PWY-7694	zwittermicin A biosynthesis	Biosynthesis|Secondary Metabolite Biosynthesis|Toxin Biosynthesis|Antibiotic Biosynthesis
PWY-5755	4-hydroxybenzoate biosynthesis II (bacteria)	Biosynthesis|Aromatic Compound Biosynthesis|4-Hydroxybenzoate Biosynthesis
PWY-7821	tunicamycin biosynthesis	Biosynthesis|Secondary Metabolite Biosynthesis|Toxin Biosynthesis|Antibiotic Biosynthesis
PWY-5754	4-hydroxybenzoate biosynthesis I (eukaryotes)	Biosynthesis|Aromatic Compound Biosynthesis|4-Hydroxybenzoate Biosynthesis
PWY1A0-6325	actinorhodin biosynthesis	Biosynthesis|Secondary Metabolite Biosynthesis|Toxin Biosynthesis|Antibiotic Biosynthesis
PWY-6435	4-hydroxybenzoate biosynthesis III (plants)	Biosynthesis|Aromatic Compound Biosynthesis|4-Hydroxybenzoate Biosynthesis
PWY-5679	clavulanate biosynthesis	Biosynthesis|Secondary Metabolite Biosynthesis|Toxin Biosynthesis|Antibiotic Biosynthesis
PWY-7930	pyoluteorin biosynthesis	Biosynthesis|Aromatic Compound Biosynthesis|Halogenated Aromatic Compound Biosynthesis
PWY-6345	K-252 biosynthesis	Biosynthesis|Secondary Metabolite Biosynthesis|Toxin Biosynthesis|Antibiotic Biosynthesis
PWY-7929	polybrominated phenols biosynthesis	Biosynthesis|Aromatic Compound Biosynthesis|Halogenated Aromatic Compound Biosynthesis
PWY-7019	butirosin biosynthesis	Biosynthesis|Secondary Metabolite Biosynthesis|Toxin Biosynthesis|Antibiotic Biosynthesis
PWY-7932	polybrominated biphenyls and diphenyl ethers biosynthesis	Biosynthesis|Aromatic Compound Biosynthesis|Halogenated Aromatic Compound Biosynthesis
PWY-7564	bacimethrin and bacimethrin pyrophosphate biosynthesis	Biosynthesis|Secondary Metabolite Biosynthesis|Toxin Biosynthesis|Antibiotic Biosynthesis
PWY-7935	spongiadioxin C biosynthesis	Biosynthesis|Aromatic Compound Biosynthesis|Halogenated Aromatic Compound Biosynthesis
PWY-7716	penicillin G and penicillin V biosynthesis	Biosynthesis|Secondary Metabolite Biosynthesis|Toxin Biosynthesis|Antibiotic Biosynthesis
PWY-7931	brominated pyrroles biosynthesis	Biosynthesis|Aromatic Compound Biosynthesis|Halogenated Aromatic Compound Biosynthesis
PWY-7956	3-[(E)-2-isocyanoethenyl]-1H-indole biosynthesis	Biosynthesis|Secondary Metabolite Biosynthesis|Toxin Biosynthesis|Antibiotic Biosynthesis
PWY-7934	polybrominated dihydroxylated diphenyl ethers biosynthesis	Biosynthesis|Aromatic Compound Biosynthesis|Halogenated Aromatic Compound Biosynthesis
PWY-5770	phenazine-1-carboxylate biosynthesis	Biosynthesis|Secondary Metabolite Biosynthesis|Toxin Biosynthesis|Antibiotic Biosynthesis
PWY-6164	3-dehydroquinate biosynthesis I	Biosynthesis|Aromatic Compound Biosynthesis|3-Dehydroquinate Biosynthesis
PWY-6666	pyocyanin biosynthesis	Biosynthesis|Secondary Metabolite Biosynthesis|Toxin Biosynthesis|Antibiotic Biosynthesis
PWY-6160	3-dehydroquinate biosynthesis II (archaea)	Biosynthesis|Aromatic Compound Biosynthesis|3-Dehydroquinate Biosynthesis
PWY-7025	gentamicin biosynthesis	Biosynthesis|Secondary Metabolite Biosynthesis|Toxin Biosynthesis|Antibiotic Biosynthesis
PWY-6163	chorismate biosynthesis from 3-dehydroquinate	Biosynthesis|Aromatic Compound Biosynthesis|Chorismate Biosynthesis
PWY-7734	quinoxaline-2-carboxylate biosynthesis	Biosynthesis|Secondary Metabolite Biosynthesis|Toxin Biosynthesis|Antibiotic Biosynthesis
PWY-5907	homospermidine biosynthesis I	Biosynthesis|Amine and Polyamine Biosynthesis|homospermidine biosynthesis
PWY-8033	aureothin biosynthesis	Biosynthesis|Secondary Metabolite Biosynthesis|Toxin Biosynthesis|Antibiotic Biosynthesis
PWY-8149	homospermidine biosynthesis II	Biosynthesis|Amine and Polyamine Biosynthesis|homospermidine biosynthesis
PWY-5887	albaflavenone biosynthesis	Biosynthesis|Secondary Metabolite Biosynthesis|Toxin Biosynthesis|Antibiotic Biosynthesis
PWY-3561	choline biosynthesis III	Biosynthesis|Amine and Polyamine Biosynthesis|Choline Biosynthesis
PWY-6720	toyocamycin biosynthesis	Biosynthesis|Secondary Metabolite Biosynthesis|Toxin Biosynthesis|Antibiotic Biosynthesis
PWY-3542	choline biosynthesis II	Biosynthesis|Amine and Polyamine Biosynthesis|Choline Biosynthesis
PWY-7769	phosalacine biosynthesis	Biosynthesis|Secondary Metabolite Biosynthesis|Toxin Biosynthesis|Antibiotic Biosynthesis
PWY-3385	choline biosynthesis I	Biosynthesis|Amine and Polyamine Biosynthesis|Choline Biosynthesis
PWY-5940	streptomycin biosynthesis	Biosynthesis|Secondary Metabolite Biosynthesis|Toxin Biosynthesis|Antibiotic Biosynthesis
PWY-6834	spermidine biosynthesis III	Biosynthesis|Amine and Polyamine Biosynthesis|Spermidine Biosynthesis
PWY-6915	pentalenolactone biosynthesis	Biosynthesis|Secondary Metabolite Biosynthesis|Toxin Biosynthesis|Antibiotic Biosynthesis
PWY-6559	spermidine biosynthesis II	Biosynthesis|Amine and Polyamine Biosynthesis|Spermidine Biosynthesis
PWY-7355	doxorubicin biosynthesis	Biosynthesis|Secondary Metabolite Biosynthesis|Toxin Biosynthesis|Antibiotic Biosynthesis
BSUBPOLYAMSYN-PWY	spermidine biosynthesis I	Biosynthesis|Amine and Polyamine Biosynthesis|Spermidine Biosynthesis
PWY-5631	deacetylcephalosporin C biosynthesis	Biosynthesis|Secondary Metabolite Biosynthesis|Toxin Biosynthesis|Antibiotic Biosynthesis
PWY-7483	elloramycin biosynthesis	Biosynthesis|Secondary Metabolite Biosynthesis|Toxin Biosynthesis|Antibiotic Biosynthesis
PWY-7693	guadinomine B biosynthesis	Biosynthesis|Secondary Metabolite Biosynthesis|Toxin Biosynthesis|Antibiotic Biosynthesis
PWY-7812	tetracycline and oxytetracycline biosynthesis	Biosynthesis|Secondary Metabolite Biosynthesis|Toxin Biosynthesis|Antibiotic Biosynthesis
PWY1A0-6120	streptorubin B biosynthesis	Biosynthesis|Secondary Metabolite Biosynthesis|Toxin Biosynthesis|Antibiotic Biosynthesis
PWY-8098	cyclic 2,3-bisphosphoglycerate biosynthesis	Biosynthesis|Metabolic Regulator Biosynthesis|Organic Solute Biosynthesis
PWY-6324	rebeccamycin biosynthesis	Biosynthesis|Secondary Metabolite Biosynthesis|Toxin Biosynthesis|Antibiotic Biosynthesis
PWY-7054	N-acetylglutaminylglutamine amide biosynthesis	Biosynthesis|Metabolic Regulator Biosynthesis|Organic Solute Biosynthesis
PWY-7018	paromomycin biosynthesis	Biosynthesis|Secondary Metabolite Biosynthesis|Toxin Biosynthesis|Antibiotic Biosynthesis
PWY-6664	di-myo-inositol phosphate biosynthesis	Biosynthesis|Metabolic Regulator Biosynthesis|Organic Solute Biosynthesis
PWY-7547	prodigiosin biosynthesis	Biosynthesis|Secondary Metabolite Biosynthesis|Toxin Biosynthesis|Antibiotic Biosynthesis
P541-PWY	glycine betaine biosynthesis IV (from glycine)	Biosynthesis|Amine and Polyamine Biosynthesis|Metabolic Regulator Biosynthesis|Organic Solute Biosynthesis|Betaine Biosynthesis
PWY-7706	dapdiamides biosynthesis	Biosynthesis|Secondary Metabolite Biosynthesis|Toxin Biosynthesis|Antibiotic Biosynthesis
PWY-6004	glycine betaine biosynthesis V (from glycine)	Biosynthesis|Amine and Polyamine Biosynthesis|Metabolic Regulator Biosynthesis|Organic Solute Biosynthesis|Betaine Biosynthesis
PWY-7911	6'-dechloromelleolide F biosynthesis	Biosynthesis|Secondary Metabolite Biosynthesis|Toxin Biosynthesis|Antibiotic Biosynthesis
BETSYN-PWY	glycine betaine biosynthesis I (Gram-negative bacteria)	Biosynthesis|Amine and Polyamine Biosynthesis|Metabolic Regulator Biosynthesis|Organic Solute Biosynthesis|Betaine Biosynthesis
PWY-5757	fosfomycin biosynthesis	Biosynthesis|Secondary Metabolite Biosynthesis|Toxin Biosynthesis|Antibiotic Biosynthesis
PWY-4021	&beta;-alanine betaine biosynthesis	Degradation/Utilization/Assimilation|Amino Acid Degradation|Other Amino Acid Degradation|Biosynthesis|Amine and Polyamine Biosynthesis|Metabolic Regulator Biosynthesis|Organic Solute Biosynthesis|Betaine Biosynthesis
PWY-6511	3-methylarginine biosynthesis	Biosynthesis|Secondary Metabolite Biosynthesis|Toxin Biosynthesis|Antibiotic Biosynthesis
PWY-3722	glycine betaine biosynthesis II (Gram-positive bacteria)	Biosynthesis|Amine and Polyamine Biosynthesis|Metabolic Regulator Biosynthesis|Organic Solute Biosynthesis|Betaine Biosynthesis
PWY-7570	blasticidin S biosynthesis	Biosynthesis|Secondary Metabolite Biosynthesis|Toxin Biosynthesis|Antibiotic Biosynthesis
PWY1F-353	glycine betaine biosynthesis III (plants)	Biosynthesis|Amine and Polyamine Biosynthesis|Metabolic Regulator Biosynthesis|Organic Solute Biosynthesis|Betaine Biosynthesis
PWY-7733	3-hydroxyquinaldate biosynthesis	Biosynthesis|Secondary Metabolite Biosynthesis|Toxin Biosynthesis|Antibiotic Biosynthesis
PWY-46	putrescine biosynthesis III	Biosynthesis|Amine and Polyamine Biosynthesis|Putrescine Biosynthesis
PWY-8032	chloramphenicol biosynthesis	Biosynthesis|Secondary Metabolite Biosynthesis|Toxin Biosynthesis|Antibiotic Biosynthesis
PWY-43	putrescine biosynthesis II	Biosynthesis|Amine and Polyamine Biosynthesis|Putrescine Biosynthesis
PWY-5818	validamycin biosynthesis	Biosynthesis|Secondary Metabolite Biosynthesis|Toxin Biosynthesis|Antibiotic Biosynthesis
PWY-40	putrescine biosynthesis I	Biosynthesis|Amine and Polyamine Biosynthesis|Putrescine Biosynthesis
PWY-6682	dehydrophos biosynthesis	Biosynthesis|Secondary Metabolite Biosynthesis|Toxin Biosynthesis|Antibiotic Biosynthesis
PWY66-421	homocarnosine biosynthesis	Biosynthesis|Metabolic Regulator Biosynthesis|Dipeptide Biosynthesis
PWY-7737	thiocoraline biosynthesis	Biosynthesis|Secondary Metabolite Biosynthesis|Toxin Biosynthesis|Antibiotic Biosynthesis
PWY-4983	nitric oxide biosynthesis II (mammals)	Biosynthesis|Metabolic Regulator Biosynthesis|Nitric Oxide Biosynthesis
PWY-5930	terpentecin biosynthesis	Biosynthesis|Secondary Metabolite Biosynthesis|Toxin Biosynthesis|Antibiotic Biosynthesis
PWY-7860	nitric oxide biosynthesis III (bacteria)	Biosynthesis|Metabolic Regulator Biosynthesis|Nitric Oxide Biosynthesis
PWY-6722	candicidin biosynthesis	Biosynthesis|Secondary Metabolite Biosynthesis|Toxin Biosynthesis|Antibiotic Biosynthesis
PWY-6845	nitric oxide biosynthesis I (plants)	Biosynthesis|Metabolic Regulator Biosynthesis|Nitric Oxide Biosynthesis
PWY-7354	aclacinomycin biosynthesis	Biosynthesis|Secondary Metabolite Biosynthesis|Toxin Biosynthesis|Antibiotic Biosynthesis
PWY-7797	nocardicin A biosynthesis	Biosynthesis|Secondary Metabolite Biosynthesis|Toxin Biosynthesis|Antibiotic Biosynthesis
PWY0-1338	polymyxin resistance	Biosynthesis|Cell Structure Biosynthesis|Lipopolysaccharide Biosynthesis|Detoxification|Antibiotic Resistance
PWY-8039	mitomycin biosynthesis	Biosynthesis|Secondary Metabolite Biosynthesis|Toxin Biosynthesis|Antibiotic Biosynthesis
PWY-5630	penicillin K biosynthesis	Biosynthesis|Secondary Metabolite Biosynthesis|Toxin Biosynthesis|Antibiotic Biosynthesis
PWY-6955	lincomycin A biosynthesis	Biosynthesis|Secondary Metabolite Biosynthesis|Toxin Biosynthesis|Antibiotic Biosynthesis
PWY-7441	polymyxin A biosynthesis	Biosynthesis|Secondary Metabolite Biosynthesis|Toxin Biosynthesis|Antibiotic Biosynthesis
PWY-7690	holomycin biosynthesis	Biosynthesis|Secondary Metabolite Biosynthesis|Toxin Biosynthesis|Antibiotic Biosynthesis
PWY-6626	cytidine-5'-diphosphate-glycerol biosynthesis	Biosynthesis|Cell Structure Biosynthesis|Cell Wall Biosynthesis
PWY-7811	6-methylpretetramide biosynthesis	Biosynthesis|Secondary Metabolite Biosynthesis|Toxin Biosynthesis|Antibiotic Biosynthesis
PWY-6455	vancomycin resistance II	Detoxification|Antibiotic Resistance|Vancomycin Resistance|Biosynthesis|Cell Structure Biosynthesis|Cell Wall Biosynthesis
PWY-8179	platensimycin biosynthesis	Biosynthesis|Secondary Metabolite Biosynthesis|Toxin Biosynthesis|Antibiotic Biosynthesis
PWY-6454	vancomycin resistance I	Detoxification|Antibiotic Resistance|Vancomycin Resistance|Biosynthesis|Cell Structure Biosynthesis|Cell Wall Biosynthesis
PWY-5633	cephamycin C biosynthesis	Biosynthesis|Secondary Metabolite Biosynthesis|Toxin Biosynthesis|Antibiotic Biosynthesis
PWY-7820	teichuronic acid biosynthesis (B. subtilis 168)	Biosynthesis|Cell Structure Biosynthesis|Cell Wall Biosynthesis
PWY-6322	phosphinothricin tripeptide biosynthesis	Biosynthesis|Secondary Metabolite Biosynthesis|Toxin Biosynthesis|Antibiotic Biosynthesis
PWY-7016	neomycin biosynthesis	Biosynthesis|Secondary Metabolite Biosynthesis|Toxin Biosynthesis|Antibiotic Biosynthesis
PWY-7510	rhizocticin A and B biosynthesis	Biosynthesis|Secondary Metabolite Biosynthesis|Toxin Biosynthesis|Antibiotic Biosynthesis
PWY-7863	roseoflavin biosynthesis	Biosynthesis|Secondary Metabolite Biosynthesis|Toxin Biosynthesis|Antibiotic Biosynthesis
PWY-5737	(5R)-carbapenem carboxylate biosynthesis	Biosynthesis|Secondary Metabolite Biosynthesis|Toxin Biosynthesis|Antibiotic Biosynthesis
PWY-6346	staurosporine biosynthesis	Biosynthesis|Secondary Metabolite Biosynthesis|Toxin Biosynthesis|Antibiotic Biosynthesis
PWY-7569	arginomycin biosynthesis	Biosynthesis|Secondary Metabolite Biosynthesis|Toxin Biosynthesis|Antibiotic Biosynthesis
PWY-5344	L-homocysteine biosynthesis	Biosynthesis|Amino Acid Biosynthesis|Other Amino Acid Biosynthesis
PWY-7718	actinomycin D biosynthesis	Biosynthesis|Secondary Metabolite Biosynthesis|Toxin Biosynthesis|Antibiotic Biosynthesis
PWY-6936	seleno-amino acid biosynthesis (plants)	Biosynthesis|Amino Acid Biosynthesis|Other Amino Acid Biosynthesis
PWY-8012	mupirocin biosynthesis	Biosynthesis|Secondary Metabolite Biosynthesis|Toxin Biosynthesis|Antibiotic Biosynthesis
PWY-7648	3-hydroxy-4-methyl-proline biosynthesis	Biosynthesis|Amino Acid Biosynthesis|Other Amino Acid Biosynthesis
PWY-5776	2-hydroxyphenazine biosynthesis	Biosynthesis|Secondary Metabolite Biosynthesis|Toxin Biosynthesis|Antibiotic Biosynthesis
PWY-8072	alanine racemization	Biosynthesis|Amino Acid Biosynthesis|Other Amino Acid Biosynthesis
