#mapID	PathwayName	Pathway
map00480	Glutathione metabolism	Metabolism|Metabolism of other amino acids|Glutathione metabolism
map00510	N-Glycan biosynthesis	Metabolism|Glycan biosynthesis and metabolism|N-Glycan biosynthesis
map00513	Various types of N-glycan biosynthesis	Metabolism|Glycan biosynthesis and metabolism|Various types of N-glycan biosynthesis
map00512	Mucin type O-glycan biosynthesis	Metabolism|Glycan biosynthesis and metabolism|Mucin type O-glycan biosynthesis
map00515	Mannose type O-glycan biosynthesis	Metabolism|Glycan biosynthesis and metabolism|Mannose type O-glycan biosynthesis
map00514	Other types of O-glycan biosynthesis	Metabolism|Glycan biosynthesis and metabolism|Other types of O-glycan biosynthesis
map00532	Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate	Metabolism|Glycan biosynthesis and metabolism|Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate
map00534	Glycosaminoglycan biosynthesis - heparan sulfate / heparin	Metabolism|Glycan biosynthesis and metabolism|Glycosaminoglycan biosynthesis - heparan sulfate / heparin
map00533	Glycosaminoglycan biosynthesis - keratan sulfate	Metabolism|Glycan biosynthesis and metabolism|Glycosaminoglycan biosynthesis - keratan sulfate
map00531	Glycosaminoglycan degradation	Metabolism|Glycan biosynthesis and metabolism|Glycosaminoglycan degradation
map00563	Glycosylphosphatidylinositol (GPI)-anchor biosynthesis	Metabolism|Glycan biosynthesis and metabolism|Glycosylphosphatidylinositol (GPI)-anchor biosynthesis
map00601	Glycosphingolipid biosynthesis - lacto and neolacto series	Metabolism|Glycan biosynthesis and metabolism|Glycosphingolipid biosynthesis - lacto and neolacto series
map00603	Glycosphingolipid biosynthesis - globo and isoglobo series	Metabolism|Glycan biosynthesis and metabolism|Glycosphingolipid biosynthesis - globo and isoglobo series
map00604	Glycosphingolipid biosynthesis - ganglio series	Metabolism|Glycan biosynthesis and metabolism|Glycosphingolipid biosynthesis - ganglio series
map00540	Lipopolysaccharide biosynthesis	Metabolism|Glycan biosynthesis and metabolism|Lipopolysaccharide biosynthesis
map00542	O-Antigen repeat unit biosynthesis	Metabolism|Glycan biosynthesis and metabolism|O-Antigen repeat unit biosynthesis
map00541	O-Antigen nucleotide sugar biosynthesis	Metabolism|Glycan biosynthesis and metabolism|O-Antigen nucleotide sugar biosynthesis
map00550	Peptidoglycan biosynthesis	Metabolism|Glycan biosynthesis and metabolism|Peptidoglycan biosynthesis
map00511	Other glycan degradation	Metabolism|Glycan biosynthesis and metabolism|Other glycan degradation
map00571	Lipoarabinomannan (LAM) biosynthesis	Metabolism|Glycan biosynthesis and metabolism|Lipoarabinomannan (LAM) biosynthesis
map00572	Arabinogalactan biosynthesis - Mycobacterium	Metabolism|Glycan biosynthesis and metabolism|Arabinogalactan biosynthesis - Mycobacterium
map00730	Thiamine metabolism	Metabolism|Metabolism of cofactors and vitamins|Thiamine metabolism
map00740	Riboflavin metabolism	Metabolism|Metabolism of cofactors and vitamins|Riboflavin metabolism
map00750	Vitamin B6 metabolism	Metabolism|Metabolism of cofactors and vitamins|Vitamin B6 metabolism
map00760	Nicotinate and nicotinamide metabolism	Metabolism|Metabolism of cofactors and vitamins|Nicotinate and nicotinamide metabolism
map00770	Pantothenate and CoA biosynthesis	Metabolism|Metabolism of cofactors and vitamins|Pantothenate and CoA biosynthesis
map00780	Biotin metabolism	Metabolism|Metabolism of cofactors and vitamins|Biotin metabolism
map00785	Lipoic acid metabolism	Metabolism|Metabolism of cofactors and vitamins|Lipoic acid metabolism
map00790	Folate biosynthesis	Metabolism|Metabolism of cofactors and vitamins|Folate biosynthesis
map00670	One carbon pool by folate	Metabolism|Metabolism of cofactors and vitamins|One carbon pool by folate
map00830	Retinol metabolism	Metabolism|Metabolism of cofactors and vitamins|Retinol metabolism
map00860	Porphyrin and chlorophyll metabolism	Metabolism|Metabolism of cofactors and vitamins|Porphyrin and chlorophyll metabolism
map00130	Ubiquinone and other terpenoid-quinone biosynthesis	Metabolism|Metabolism of cofactors and vitamins|Ubiquinone and other terpenoid-quinone biosynthesis
map00900	Terpenoid backbone biosynthesis	Metabolism|Metabolism of terpenoids and polyketides|Terpenoid backbone biosynthesis
map00902	Monoterpenoid biosynthesis	Metabolism|Metabolism of terpenoids and polyketides|Monoterpenoid biosynthesis
map00909	Sesquiterpenoid and triterpenoid biosynthesis	Metabolism|Metabolism of terpenoids and polyketides|Sesquiterpenoid and triterpenoid biosynthesis
map00904	Diterpenoid biosynthesis	Metabolism|Metabolism of terpenoids and polyketides|Diterpenoid biosynthesis
map00906	Carotenoid biosynthesis	Metabolism|Metabolism of terpenoids and polyketides|Carotenoid biosynthesis
map00905	Brassinosteroid biosynthesis	Metabolism|Metabolism of terpenoids and polyketides|Brassinosteroid biosynthesis
map00981	Insect hormone biosynthesis	Metabolism|Metabolism of terpenoids and polyketides|Insect hormone biosynthesis
map00908	Zeatin biosynthesis	Metabolism|Metabolism of terpenoids and polyketides|Zeatin biosynthesis
map00903	Limonene and pinene degradation	Metabolism|Metabolism of terpenoids and polyketides|Limonene and pinene degradation
map00281	Geraniol degradation	Metabolism|Metabolism of terpenoids and polyketides|Geraniol degradation
map01052	Type I polyketide structures	Metabolism|Metabolism of terpenoids and polyketides|Type I polyketide structures
map00522	Biosynthesis of 12-, 14- and 16-membered macrolides	Metabolism|Metabolism of terpenoids and polyketides|Biosynthesis of 12-, 14- and 16-membered macrolides
map01051	Biosynthesis of ansamycins	Metabolism|Metabolism of terpenoids and polyketides|Biosynthesis of ansamycins
map01059	Biosynthesis of enediyne antibiotics	Metabolism|Metabolism of terpenoids and polyketides|Biosynthesis of enediyne antibiotics
map01056	Biosynthesis of type II polyketide backbone	Metabolism|Metabolism of terpenoids and polyketides|Biosynthesis of type II polyketide backbone
map01057	Biosynthesis of type II polyketide products	Metabolism|Metabolism of terpenoids and polyketides|Biosynthesis of type II polyketide products
map00253	Tetracycline biosynthesis	Metabolism|Metabolism of terpenoids and polyketides|Tetracycline biosynthesis
map00523	Polyketide sugar unit biosynthesis	Metabolism|Metabolism of terpenoids and polyketides|Polyketide sugar unit biosynthesis
map01054	Nonribosomal peptide structures	Metabolism|Metabolism of terpenoids and polyketides|Nonribosomal peptide structures
map01053	Biosynthesis of siderophore group nonribosomal peptides	Metabolism|Metabolism of terpenoids and polyketides|Biosynthesis of siderophore group nonribosomal peptides
map01055	Biosynthesis of vancomycin group antibiotics	Metabolism|Metabolism of terpenoids and polyketides|Biosynthesis of vancomycin group antibiotics
map00940	Phenylpropanoid biosynthesis	Metabolism|Biosynthesis of other secondary metabolites|Phenylpropanoid biosynthesis
map00945	Stilbenoid, diarylheptanoid and gingerol biosynthesis	Metabolism|Biosynthesis of other secondary metabolites|Stilbenoid, diarylheptanoid and gingerol biosynthesis
map00941	Flavonoid biosynthesis	Metabolism|Biosynthesis of other secondary metabolites|Flavonoid biosynthesis
map00944	Flavone and flavonol biosynthesis	Metabolism|Biosynthesis of other secondary metabolites|Flavone and flavonol biosynthesis
map00942	Anthocyanin biosynthesis	Metabolism|Biosynthesis of other secondary metabolites|Anthocyanin biosynthesis
map00943	Isoflavonoid biosynthesis	Metabolism|Biosynthesis of other secondary metabolites|Isoflavonoid biosynthesis
map00901	Indole alkaloid biosynthesis	Metabolism|Biosynthesis of other secondary metabolites|Indole alkaloid biosynthesis
map00403	Indole diterpene alkaloid biosynthesis	Metabolism|Biosynthesis of other secondary metabolites|Indole diterpene alkaloid biosynthesis
map00950	Isoquinoline alkaloid biosynthesis	Metabolism|Biosynthesis of other secondary metabolites|Isoquinoline alkaloid biosynthesis
map00960	Tropane, piperidine and pyridine alkaloid biosynthesis	Metabolism|Biosynthesis of other secondary metabolites|Tropane, piperidine and pyridine alkaloid biosynthesis
map01058	Acridone alkaloid biosynthesis	Metabolism|Biosynthesis of other secondary metabolites|Acridone alkaloid biosynthesis
map00232	Caffeine metabolism	Metabolism|Biosynthesis of other secondary metabolites|Caffeine metabolism
map00965	Betalain biosynthesis	Metabolism|Biosynthesis of other secondary metabolites|Betalain biosynthesis
map00966	Glucosinolate biosynthesis	Metabolism|Biosynthesis of other secondary metabolites|Glucosinolate biosynthesis
map00402	Benzoxazinoid biosynthesis	Metabolism|Biosynthesis of other secondary metabolites|Benzoxazinoid biosynthesis
map00311	Penicillin and cephalosporin biosynthesis	Metabolism|Biosynthesis of other secondary metabolites|Penicillin and cephalosporin biosynthesis
map00332	Carbapenem biosynthesis	Metabolism|Biosynthesis of other secondary metabolites|Carbapenem biosynthesis
map00261	Monobactam biosynthesis	Metabolism|Biosynthesis of other secondary metabolites|Monobactam biosynthesis
map00331	Clavulanic acid biosynthesis	Metabolism|Biosynthesis of other secondary metabolites|Clavulanic acid biosynthesis
map00521	Streptomycin biosynthesis	Metabolism|Biosynthesis of other secondary metabolites|Streptomycin biosynthesis
map00524	Neomycin, kanamycin and gentamicin biosynthesis	Metabolism|Biosynthesis of other secondary metabolites|Neomycin, kanamycin and gentamicin biosynthesis
map00525	Acarbose and validamycin biosynthesis	Metabolism|Biosynthesis of other secondary metabolites|Acarbose and validamycin biosynthesis
map00401	Novobiocin biosynthesis	Metabolism|Biosynthesis of other secondary metabolites|Novobiocin biosynthesis
map00404	Staurosporine biosynthesis	Metabolism|Biosynthesis of other secondary metabolites|Staurosporine biosynthesis
map00405	Phenazine biosynthesis	Metabolism|Biosynthesis of other secondary metabolites|Phenazine biosynthesis
map00333	Prodigiosin biosynthesis	Metabolism|Biosynthesis of other secondary metabolites|Prodigiosin biosynthesis
map00254	Aflatoxin biosynthesis	Metabolism|Biosynthesis of other secondary metabolites|Aflatoxin biosynthesis
map00999	Biosynthesis of various secondary metabolites - part 1	Metabolism|Biosynthesis of other secondary metabolites|Biosynthesis of various secondary metabolites - part 1
map00998	Biosynthesis of various secondary metabolites - part 2	Metabolism|Biosynthesis of other secondary metabolites|Biosynthesis of various secondary metabolites - part 2
map00997	Biosynthesis of various secondary metabolites - part 3	Metabolism|Biosynthesis of other secondary metabolites|Biosynthesis of various secondary metabolites - part 3
map00362	Benzoate degradation	Metabolism|Xenobiotics biodegradation and metabolism|Benzoate degradation
map00627	Aminobenzoate degradation	Metabolism|Xenobiotics biodegradation and metabolism|Aminobenzoate degradation
map00364	Fluorobenzoate degradation	Metabolism|Xenobiotics biodegradation and metabolism|Fluorobenzoate degradation
map00625	Chloroalkane and chloroalkene degradation	Metabolism|Xenobiotics biodegradation and metabolism|Chloroalkane and chloroalkene degradation
map00361	Chlorocyclohexane and chlorobenzene degradation	Metabolism|Xenobiotics biodegradation and metabolism|Chlorocyclohexane and chlorobenzene degradation
map00623	Toluene degradation	Metabolism|Xenobiotics biodegradation and metabolism|Toluene degradation
map00622	Xylene degradation	Metabolism|Xenobiotics biodegradation and metabolism|Xylene degradation
map00633	Nitrotoluene degradation	Metabolism|Xenobiotics biodegradation and metabolism|Nitrotoluene degradation
map00642	Ethylbenzene degradation	Metabolism|Xenobiotics biodegradation and metabolism|Ethylbenzene degradation
map00643	Styrene degradation	Metabolism|Xenobiotics biodegradation and metabolism|Styrene degradation
map00791	Atrazine degradation	Metabolism|Xenobiotics biodegradation and metabolism|Atrazine degradation
map00930	Caprolactam degradation	Metabolism|Xenobiotics biodegradation and metabolism|Caprolactam degradation
map00363	Bisphenol degradation	Metabolism|Xenobiotics biodegradation and metabolism|Bisphenol degradation
map00621	Dioxin degradation	Metabolism|Xenobiotics biodegradation and metabolism|Dioxin degradation
map00626	Naphthalene degradation	Metabolism|Xenobiotics biodegradation and metabolism|Naphthalene degradation
map00624	Polycyclic aromatic hydrocarbon degradation	Metabolism|Xenobiotics biodegradation and metabolism|Polycyclic aromatic hydrocarbon degradation
map00365	Furfural degradation	Metabolism|Xenobiotics biodegradation and metabolism|Furfural degradation
map00984	Steroid degradation	Metabolism|Xenobiotics biodegradation and metabolism|Steroid degradation
map00980	Metabolism of xenobiotics by cytochrome P450	Metabolism|Xenobiotics biodegradation and metabolism|Metabolism of xenobiotics by cytochrome P450
map00982	Drug metabolism - cytochrome P450	Metabolism|Xenobiotics biodegradation and metabolism|Drug metabolism - cytochrome P450
map00983	Drug metabolism - other enzymes	Metabolism|Xenobiotics biodegradation and metabolism|Drug metabolism - other enzymes
map01010	Overview of biosynthetic pathways	Metabolism|Chemical structure transformation maps|Overview of biosynthetic pathways
map01060	Biosynthesis of plant secondary metabolites	Metabolism|Chemical structure transformation maps|Biosynthesis of plant secondary metabolites
map01061	Biosynthesis of phenylpropanoids	Metabolism|Chemical structure transformation maps|Biosynthesis of phenylpropanoids
map01062	Biosynthesis of terpenoids and steroids	Metabolism|Chemical structure transformation maps|Biosynthesis of terpenoids and steroids
map01063	Biosynthesis of alkaloids derived from shikimate pathway	Metabolism|Chemical structure transformation maps|Biosynthesis of alkaloids derived from shikimate pathway
map01064	Biosynthesis of alkaloids derived from ornithine, lysine and nicotinic acid	Metabolism|Chemical structure transformation maps|Biosynthesis of alkaloids derived from ornithine, lysine and nicotinic acid
map01065	Biosynthesis of alkaloids derived from histidine and purine	Metabolism|Chemical structure transformation maps|Biosynthesis of alkaloids derived from histidine and purine
map01066	Biosynthesis of alkaloids derived from terpenoid and polyketide	Metabolism|Chemical structure transformation maps|Biosynthesis of alkaloids derived from terpenoid and polyketide
map01070	Biosynthesis of plant hormones	Metabolism|Chemical structure transformation maps|Biosynthesis of plant hormones
map03020	RNA polymerase	Genetic Information Processing|Transcription|RNA polymerase
map03022	Basal transcription factors	Genetic Information Processing|Transcription|Basal transcription factors
map03040	Spliceosome	Genetic Information Processing|Transcription|Spliceosome
map03010	Ribosome	Genetic Information Processing|Translation|Ribosome
map00970	Aminoacyl-tRNA biosynthesis	Genetic Information Processing|Translation|Aminoacyl-tRNA biosynthesis
map03013	RNA transport	Genetic Information Processing|Translation|RNA transport
map03015	mRNA surveillance pathway	Genetic Information Processing|Translation|mRNA surveillance pathway
map03008	Ribosome biogenesis in eukaryotes	Genetic Information Processing|Translation|Ribosome biogenesis in eukaryotes
map03060	Protein export	Genetic Information Processing|Folding, sorting and degradation|Protein export
map04141	Protein processing in endoplasmic reticulum	Genetic Information Processing|Folding, sorting and degradation|Protein processing in endoplasmic reticulum
map04130	SNARE interactions in vesicular transport	Genetic Information Processing|Folding, sorting and degradation|SNARE interactions in vesicular transport
map04120	Ubiquitin mediated proteolysis	Genetic Information Processing|Folding, sorting and degradation|Ubiquitin mediated proteolysis
map04122	Sulfur relay system	Genetic Information Processing|Folding, sorting and degradation|Sulfur relay system
map03050	Proteasome	Genetic Information Processing|Folding, sorting and degradation|Proteasome
map03018	RNA degradation	Genetic Information Processing|Folding, sorting and degradation|RNA degradation
map03030	DNA replication	Genetic Information Processing|Replication and repair|DNA replication
map03410	Base excision repair	Genetic Information Processing|Replication and repair|Base excision repair
map03420	Nucleotide excision repair	Genetic Information Processing|Replication and repair|Nucleotide excision repair
map03430	Mismatch repair	Genetic Information Processing|Replication and repair|Mismatch repair
map03440	Homologous recombination	Genetic Information Processing|Replication and repair|Homologous recombination
map03450	Non-homologous end-joining	Genetic Information Processing|Replication and repair|Non-homologous end-joining
map03460	Fanconi anemia pathway	Genetic Information Processing|Replication and repair|Fanconi anemia pathway
map02010	ABC transporters	Environmental Information Processing|Membrane transport|ABC transporters
map02060	Phosphotransferase system (PTS)	Environmental Information Processing|Membrane transport|Phosphotransferase system (PTS)
map03070	Bacterial secretion system	Environmental Information Processing|Membrane transport|Bacterial secretion system
map02020	Two-component system	Environmental Information Processing|Signal transduction|Two-component system
map04010	MAPK signaling pathway	Environmental Information Processing|Signal transduction|MAPK signaling pathway
map04013	MAPK signaling pathway - fly	Environmental Information Processing|Signal transduction|MAPK signaling pathway - fly
map04016	MAPK signaling pathway - plant	Environmental Information Processing|Signal transduction|MAPK signaling pathway - plant
map04011	MAPK signaling pathway - yeast	Environmental Information Processing|Signal transduction|MAPK signaling pathway - yeast
map04012	ErbB signaling pathway	Environmental Information Processing|Signal transduction|ErbB signaling pathway
map04014	Ras signaling pathway	Environmental Information Processing|Signal transduction|Ras signaling pathway
map04015	Rap1 signaling pathway	Environmental Information Processing|Signal transduction|Rap1 signaling pathway
map04310	Wnt signaling pathway	Environmental Information Processing|Signal transduction|Wnt signaling pathway
map04330	Notch signaling pathway	Environmental Information Processing|Signal transduction|Notch signaling pathway
map04340	Hedgehog signaling pathway	Environmental Information Processing|Signal transduction|Hedgehog signaling pathway
map04341	Hedgehog signaling pathway - fly	Environmental Information Processing|Signal transduction|Hedgehog signaling pathway - fly
map04350	TGF-beta signaling pathway	Environmental Information Processing|Signal transduction|TGF-beta signaling pathway
map04390	Hippo signaling pathway	Environmental Information Processing|Signal transduction|Hippo signaling pathway
map04391	Hippo signaling pathway - fly	Environmental Information Processing|Signal transduction|Hippo signaling pathway - fly
map04392	Hippo signaling pathway - multiple species	Environmental Information Processing|Signal transduction|Hippo signaling pathway - multiple species
map04370	VEGF signaling pathway	Environmental Information Processing|Signal transduction|VEGF signaling pathway
map04371	Apelin signaling pathway	Environmental Information Processing|Signal transduction|Apelin signaling pathway
map04630	JAK-STAT signaling pathway	Environmental Information Processing|Signal transduction|JAK-STAT signaling pathway
map04064	NF-kappa B signaling pathway	Environmental Information Processing|Signal transduction|NF-kappa B signaling pathway
map04668	TNF signaling pathway	Environmental Information Processing|Signal transduction|TNF signaling pathway
map04066	HIF-1 signaling pathway	Environmental Information Processing|Signal transduction|HIF-1 signaling pathway
map04068	FoxO signaling pathway	Environmental Information Processing|Signal transduction|FoxO signaling pathway
map04020	Calcium signaling pathway	Environmental Information Processing|Signal transduction|Calcium signaling pathway
map04070	Phosphatidylinositol signaling system	Environmental Information Processing|Signal transduction|Phosphatidylinositol signaling system
map04072	Phospholipase D signaling pathway	Environmental Information Processing|Signal transduction|Phospholipase D signaling pathway
map04071	Sphingolipid signaling pathway	Environmental Information Processing|Signal transduction|Sphingolipid signaling pathway
map04024	cAMP signaling pathway	Environmental Information Processing|Signal transduction|cAMP signaling pathway
map04022	cGMP-PKG signaling pathway	Environmental Information Processing|Signal transduction|cGMP-PKG signaling pathway
map04151	PI3K-Akt signaling pathway	Environmental Information Processing|Signal transduction|PI3K-Akt signaling pathway
map04152	AMPK signaling pathway	Environmental Information Processing|Signal transduction|AMPK signaling pathway
map04150	mTOR signaling pathway	Environmental Information Processing|Signal transduction|mTOR signaling pathway
map04075	Plant hormone signal transduction	Environmental Information Processing|Signal transduction|Plant hormone signal transduction
map04080	Neuroactive ligand-receptor interaction	Environmental Information Processing|Signaling molecules and interaction|Neuroactive ligand-receptor interaction
map04060	Cytokine-cytokine receptor interaction	Environmental Information Processing|Signaling molecules and interaction|Cytokine-cytokine receptor interaction
map04061	Viral protein interaction with cytokine and cytokine receptor	Environmental Information Processing|Signaling molecules and interaction|Viral protein interaction with cytokine and cytokine receptor
map04512	ECM-receptor interaction	Environmental Information Processing|Signaling molecules and interaction|ECM-receptor interaction
map04514	Cell adhesion molecules	Environmental Information Processing|Signaling molecules and interaction|Cell adhesion molecules
map04144	Endocytosis	Cellular Processes|Transport and catabolism|Endocytosis
map04145	Phagosome	Cellular Processes|Transport and catabolism|Phagosome
map04142	Lysosome	Cellular Processes|Transport and catabolism|Lysosome
map04146	Peroxisome	Cellular Processes|Transport and catabolism|Peroxisome
map04140	Autophagy - animal	Cellular Processes|Transport and catabolism|Autophagy - animal
map04138	Autophagy - yeast	Cellular Processes|Transport and catabolism|Autophagy - yeast
map04136	Autophagy - other	Cellular Processes|Transport and catabolism|Autophagy - other
map04137	Mitophagy - animal	Cellular Processes|Transport and catabolism|Mitophagy - animal
map04139	Mitophagy - yeast	Cellular Processes|Transport and catabolism|Mitophagy - yeast
map04110	Cell cycle	Cellular Processes|Cell growth and death|Cell cycle
map04111	Cell cycle - yeast	Cellular Processes|Cell growth and death|Cell cycle - yeast
map04112	Cell cycle - Caulobacter	Cellular Processes|Cell growth and death|Cell cycle - Caulobacter
map04113	Meiosis - yeast	Cellular Processes|Cell growth and death|Meiosis - yeast
map04114	Oocyte meiosis	Cellular Processes|Cell growth and death|Oocyte meiosis
map04210	Apoptosis	Cellular Processes|Cell growth and death|Apoptosis
map04214	Apoptosis - fly	Cellular Processes|Cell growth and death|Apoptosis - fly
map04215	Apoptosis - multiple species	Cellular Processes|Cell growth and death|Apoptosis - multiple species
map04216	Ferroptosis	Cellular Processes|Cell growth and death|Ferroptosis
map04217	Necroptosis	Cellular Processes|Cell growth and death|Necroptosis
map04115	p53 signaling pathway	Cellular Processes|Cell growth and death|p53 signaling pathway
map04218	Cellular senescence	Cellular Processes|Cell growth and death|Cellular senescence
map04510	Focal adhesion	Cellular Processes|Cellular community - eukaryotes|Focal adhesion
map04520	Adherens junction	Cellular Processes|Cellular community - eukaryotes|Adherens junction
map04530	Tight junction	Cellular Processes|Cellular community - eukaryotes|Tight junction
map04540	Gap junction	Cellular Processes|Cellular community - eukaryotes|Gap junction
map04550	Signaling pathways regulating pluripotency of stem cells	Cellular Processes|Cellular community - eukaryotes|Signaling pathways regulating pluripotency of stem cells
map02024	Quorum sensing	Cellular Processes|Cellular community - prokaryotes|Quorum sensing
map05111	Biofilm formation - Vibrio cholerae	Cellular Processes|Cellular community - prokaryotes|Biofilm formation - Vibrio cholerae
map02025	Biofilm formation - Pseudomonas aeruginosa	Cellular Processes|Cellular community - prokaryotes|Biofilm formation - Pseudomonas aeruginosa
map02026	Biofilm formation - Escherichia coli	Cellular Processes|Cellular community - prokaryotes|Biofilm formation - Escherichia coli
map02030	Bacterial chemotaxis	Cellular Processes|Cell motility|Bacterial chemotaxis
map02040	Flagellar assembly	Cellular Processes|Cell motility|Flagellar assembly
